TEAM,MATCH_UP,GAME_DATE,OUTCOME,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
ATL,ATL vs. BOS,44517,W,240,110,41,81,50.6,13,37,35.1,15,18,83.3,6,34,40,28,9,4,14,17,11
ATL,ATL vs. ORL,44515,W,240,129,47,85,55.3,14,30,46.7,21,32,65.6,9,37,46,32,10,7,11,17,18
ATL,ATL vs. MIL,44514,W,240,120,47,97,48.5,15,35,42.9,11,13,84.6,15,36,51,21,6,1,13,19,20
ATL,ATL @ DEN,44512,L,240,96,38,93,40.9,5,28,17.9,15,21,71.4,14,36,50,20,2,5,8,20,-9
ATL,ATL @ UTA,44509,L,240,98,37,85,43.5,18,35,51.4,6,10,60,6,26,32,22,6,5,13,18,-12
ATL,ATL @ GSW,44508,L,240,113,38,82,46.3,17,43,39.5,20,26,76.9,3,32,35,21,6,2,18,16,-14
ATL,ATL @ PHX,44506,L,240,117,42,97,43.3,13,33,39.4,20,23,87,14,36,50,18,3,1,12,16,-4
ATL,ATL vs. UTA,44504,L,240,98,35,82,42.7,7,28,25,21,26,80.8,5,27,32,18,11,4,9,24,-18
ATL,ATL @ BKN,44503,L,240,108,41,94,43.6,13,35,37.1,13,15,86.7,12,40,52,23,8,4,14,16,-9
ATL,ATL vs. WAS,44501,W,240,118,38,83,45.8,13,34,38.2,29,29,100,13,34,47,24,9,5,11,17,7
ATL,ATL @ PHI,44499,L,240,94,36,95,37.9,8,22,36.4,14,19,73.7,20,29,49,24,6,1,19,17,-28
ATL,ATL @ WAS,44497,L,240,111,48,88,54.5,6,21,28.6,9,14,64.3,6,37,43,26,4,3,13,16,-11
ATL,ATL @ NOP,44496,W,240,102,40,96,41.7,8,30,26.7,14,17,82.4,21,34,55,21,4,4,11,14,3
ATL,ATL vs. DET,44494,W,240,122,46,90,51.1,12,32,37.5,18,21,85.7,10,39,49,24,11,3,16,19,18
ATL,ATL @ CLE,44492,L,240,95,38,99,38.4,10,34,29.4,9,15,60,17,37,54,20,5,3,9,23,-6
ATL,ATL vs. DAL,44490,W,240,113,45,94,47.9,15,35,42.9,8,9,88.9,6,49,55,31,8,9,13,16,26
BOS,BOS @ ATL,44517,L,240,99,37,85,43.5,11,42,26.2,14,17,82.4,12,30,42,24,9,2,14,17,-11
BOS,BOS @ CLE,44515,W,240,98,36,78,46.2,10,29,34.5,16,20,80,6,40,46,23,7,6,14,16,6
BOS,BOS @ CLE,44513,L,240,89,33,78,42.3,6,23,26.1,17,18,94.4,10,37,47,20,7,3,20,16,-2
BOS,BOS vs. MIL,44512,W,265,122,47,96,49,12,41,29.3,16,18,88.9,16,37,53,22,5,7,17,12,9
BOS,BOS vs. TOR,44510,W,240,104,42,94,44.7,10,29,34.5,10,15,66.7,12,32,44,21,10,5,15,13,16
BOS,BOS @ DAL,44506,L,240,104,42,86,48.8,9,31,29,11,16,68.8,8,28,36,20,6,2,11,14,-3
BOS,BOS @ MIA,44504,W,240,95,31,78,39.7,16,41,39,17,20,85,11,35,46,16,7,4,16,16,17
BOS,BOS @ ORL,44503,W,240,92,33,79,41.8,10,37,27,16,25,64,9,41,50,24,7,9,11,20,13
BOS,BOS vs. CHI,44501,L,240,114,42,96,43.8,15,33,45.5,15,20,75,13,25,38,20,10,1,9,15,-14
BOS,BOS @ WAS,44499,L,290,112,44,107,41.1,2,26,7.7,22,25,88,8,46,54,23,8,10,12,32,-3
BOS,BOS vs. WAS,44496,L,240,107,37,85,43.5,10,29,34.5,23,28,82.1,10,27,37,18,9,5,13,21,-9
BOS,BOS @ CHA,44494,W,265,140,50,101,49.5,19,50,38,21,25,84,11,42,53,33,8,9,12,23,11
BOS,BOS @ HOU,44493,W,240,107,38,86,44.2,15,47,31.9,16,20,80,6,37,43,22,10,6,12,22,10
BOS,BOS vs. TOR,44491,L,240,83,32,82,39,11,34,32.4,8,11,72.7,10,32,42,19,6,12,25,19,-32
BOS,BOS @ NYK,44489,L,290,134,48,117,41,21,57,36.8,17,23,73.9,15,41,56,34,13,9,18,24,-4
BKN,BKN vs. CLE,44517,,180,109,38,83,45.8,12,32,37.5,21,25,84,8,39,47,29,7,3,12,20,10
BKN,BKN vs. GSW,44516,L,240,99,34,88,38.6,10,36,27.8,21,27,77.8,9,29,38,21,12,2,12,23,-18
BKN,BKN @ OKC,44514,W,240,120,41,82,50,18,43,41.9,20,21,95.2,7,37,44,31,8,3,15,15,24
BKN,BKN @ NOP,44512,W,240,120,41,82,50,18,34,52.9,20,27,74.1,7,27,34,27,9,4,12,20,8
BKN,BKN @ ORL,44510,W,240,123,46,91,50.5,16,37,43.2,15,17,88.2,8,41,49,29,8,5,15,18,33
BKN,BKN @ CHI,44508,L,240,95,34,86,39.5,11,33,33.3,16,19,84.2,6,36,42,19,6,7,15,16,-23
BKN,BKN @ TOR,44507,W,240,116,41,80,51.3,17,38,44.7,17,20,85,12,36,48,29,3,0,16,15,13
BKN,BKN @ DET,44505,W,240,96,36,80,45,11,27,40.7,13,14,92.9,4,41,45,25,3,4,17,21,6
BKN,BKN vs. ATL,44503,W,240,117,43,88,48.9,22,48,45.8,9,12,75,7,35,42,34,7,8,16,18,9
BKN,BKN vs. DET,44500,W,240,117,47,72,65.3,13,25,52,10,16,62.5,2,39,41,30,7,2,20,19,26
BKN,BKN vs. IND,44498,W,240,105,34,76,44.7,6,26,23.1,31,41,75.6,10,40,50,20,9,6,18,21,7
BKN,BKN vs. MIA,44496,L,240,93,33,85,38.8,14,43,32.6,13,14,92.9,4,38,42,21,7,7,16,24,-13
BKN,BKN vs. WAS,44494,W,240,104,40,94,42.6,10,35,28.6,14,17,82.4,7,47,54,23,6,4,9,19,14
BKN,BKN vs. CHA,44493,L,240,95,38,87,43.7,9,35,25.7,10,12,83.3,9,35,44,18,10,8,17,19,-16
BKN,BKN @ PHI,44491,W,240,114,41,88,46.6,12,38,31.6,20,24,83.3,11,36,47,26,6,6,13,16,5
BKN,BKN @ MIL,44488,L,240,104,37,84,44,17,32,53.1,13,23,56.5,5,39,44,19,3,9,13,17,-23
CHA,CHA vs. WAS,44517,W,240,97,42,96,43.8,10,32,31.3,3,6,50,16,43,59,30,6,8,11,16,10
CHA,CHA vs. GSW,44514,W,240,106,42,88,47.7,14,36,38.9,8,12,66.7,4,35,39,23,10,2,13,21,4
CHA,CHA vs. NYK,44512,W,240,104,39,90,43.3,10,36,27.8,16,24,66.7,12,37,49,25,10,5,14,18,8
CHA,CHA @ MEM,44510,W,240,118,41,90,45.6,15,36,41.7,21,24,87.5,9,40,49,32,13,7,17,16,10
CHA,CHA @ LAL,44508,L,265,123,43,99,43.4,14,42,33.3,23,28,82.1,14,41,55,23,5,3,18,23,-3
CHA,CHA @ LAC,44507,L,240,106,41,101,40.6,10,33,30.3,14,18,77.8,12,32,44,20,13,2,13,21,-14
CHA,CHA @ SAC,44505,L,240,110,43,92,46.7,11,35,31.4,13,21,61.9,7,21,28,29,8,5,10,19,-30
CHA,CHA @ GSW,44503,L,240,92,34,91,37.4,10,36,27.8,14,19,73.7,9,40,49,18,10,2,16,14,-22
CHA,CHA vs. CLE,44501,L,240,110,42,101,41.6,15,39,38.5,11,15,73.3,20,26,46,27,12,12,17,23,-3
CHA,CHA vs. POR,44500,W,240,125,46,89,51.7,20,42,47.6,13,21,61.9,10,34,44,36,4,6,9,18,12
CHA,CHA @ MIA,44498,L,240,99,35,90,38.9,13,37,35.1,16,22,72.7,11,26,37,21,8,6,11,17,-15
CHA,CHA @ ORL,44496,W,240,120,43,83,51.8,14,30,46.7,20,24,83.3,10,30,40,22,14,4,17,14,9
CHA,CHA vs. BOS,44494,L,265,129,46,103,44.7,19,44,43.2,18,28,64.3,14,38,52,26,4,6,14,25,-11
CHA,CHA @ BKN,44493,W,240,111,43,94,45.7,10,30,33.3,15,19,78.9,10,38,48,26,10,5,12,17,16
CHA,CHA @ CLE,44491,W,240,123,48,91,52.7,13,32,40.6,14,17,82.4,11,35,46,32,13,1,18,16,11
CHA,CHA vs. IND,44489,W,240,123,46,107,43,13,31,41.9,18,27,66.7,12,34,46,29,9,5,8,21,1
CHI,CHI @ LAL,44515,W,240,121,49,89,55.1,15,34,44.1,8,11,72.7,4,32,36,31,9,2,17,21,18
CHI,CHI @ LAC,44514,W,240,100,38,86,44.2,11,29,37.9,13,14,92.9,7,38,45,19,9,4,15,20,10
CHI,CHI @ GSW,44512,L,240,93,34,78,43.6,8,27,29.6,17,22,77.3,7,31,38,18,9,2,20,16,-26
CHI,CHI vs. DAL,44510,W,240,117,45,89,50.6,15,31,48.4,12,14,85.7,8,38,46,26,9,2,11,15,10
CHI,CHI vs. BKN,44508,W,240,118,46,98,46.9,9,31,29,17,20,85,15,41,56,21,8,5,9,17,23
CHI,CHI vs. PHI,44506,L,240,105,37,92,40.2,7,29,24.1,24,30,80,18,28,46,20,7,1,9,19,-9
CHI,CHI @ PHI,44503,L,240,98,38,82,46.3,6,21,28.6,16,18,88.9,9,38,47,19,11,4,16,17,-5
CHI,CHI @ BOS,44501,W,240,128,49,86,57,13,31,41.9,17,18,94.4,10,40,50,30,7,8,18,19,14
CHI,CHI vs. UTA,44499,W,240,107,39,91,42.9,5,21,23.8,24,30,80,9,36,45,16,8,5,9,19,8
CHI,CHI vs. NYK,44497,L,240,103,36,84,42.9,11,32,34.4,20,22,90.9,5,32,37,25,6,5,7,18,-1
CHI,CHI @ TOR,44494,W,240,111,39,81,48.1,12,27,44.4,21,22,95.5,5,24,29,24,11,3,13,16,3
CHI,CHI vs. DET,44492,W,240,97,35,84,41.7,11,26,42.3,16,19,84.2,3,39,42,24,13,11,13,17,15
CHI,CHI vs. NOP,44491,W,240,128,47,89,52.8,14,28,50,20,25,80,11,35,46,32,9,7,14,14,16
CHI,CHI @ DET,44489,W,240,94,37,86,43,7,23,30.4,13,15,86.7,9,39,48,18,8,5,17,19,6
CLE,CLE @ BKN,44517,,180,99,35,89,39.3,11,44,25,18,21,85.7,12,38,50,20,9,1,14,17,-10
CLE,CLE vs. BOS,44515,L,240,92,32,83,38.6,16,40,40,12,16,75,7,35,42,18,6,3,14,18,-6
CLE,CLE vs. BOS,44513,W,240,91,31,81,38.3,10,38,26.3,19,22,86.4,9,30,39,17,10,4,11,19,2
CLE,CLE vs. DET,44512,W,240,98,39,82,47.6,14,41,34.1,6,9,66.7,8,32,40,27,12,6,21,11,20
CLE,CLE vs. WAS,44510,L,240,94,35,76,46.1,9,31,29,15,21,71.4,6,34,40,21,7,4,15,18,-3
CLE,CLE @ NYK,44507,W,240,126,49,90,54.4,19,35,54.3,9,11,81.8,11,37,48,31,8,2,17,18,17
CLE,CLE @ TOR,44505,W,240,102,38,83,45.8,10,30,33.3,16,19,84.2,11,28,39,22,4,3,18,13,1
CLE,CLE vs. POR,44503,W,240,107,39,74,52.7,15,30,50,14,18,77.8,5,38,43,29,4,2,19,14,3
CLE,CLE @ CHA,44501,W,240,113,39,90,43.3,9,28,32.1,26,38,68.4,17,32,49,21,12,7,16,14,3
CLE,CLE @ PHX,44499,L,240,92,36,91,39.6,14,44,31.8,6,7,85.7,10,37,47,21,8,3,19,21,-9
CLE,CLE @ LAL,44498,L,240,101,37,87,42.5,12,34,35.3,15,22,68.2,16,20,36,28,10,1,15,13,-12
CLE,CLE @ LAC,44496,W,240,92,33,81,40.7,3,20,15,23,27,85.2,14,43,57,12,9,3,21,14,13
CLE,CLE @ DEN,44494,W,240,99,38,82,46.3,7,25,28,16,20,80,11,38,49,26,8,5,16,18,12
CLE,CLE vs. ATL,44492,W,240,101,37,89,41.6,7,28,25,20,27,74.1,12,42,54,23,6,6,10,16,6
CLE,CLE vs. CHA,44491,L,240,112,43,84,51.2,9,31,29,17,20,85,7,29,36,26,9,3,19,15,-11
CLE,CLE @ MEM,44489,L,240,121,47,93,50.5,14,38,36.8,13,18,72.2,7,29,36,38,6,5,11,17,-11
DAL,DAL vs. DEN,44515,W,240,111,45,90,50,14,36,38.9,7,10,70,10,34,44,30,7,2,9,19,10
DAL,DAL @ SAS,44512,W,240,123,46,100,46,18,45,40,13,19,68.4,10,38,48,30,9,7,6,18,14
DAL,DAL @ CHI,44510,L,240,107,38,83,45.8,12,33,36.4,19,24,79.2,8,35,43,23,9,4,12,16,-10
DAL,DAL vs. NOP,44508,W,240,108,43,85,50.6,14,35,40,8,13,61.5,9,37,46,27,7,3,13,15,16
DAL,DAL vs. BOS,44506,W,240,107,41,78,52.6,13,39,33.3,12,14,85.7,7,33,40,19,7,6,15,18,3
DAL,DAL @ SAS,44503,W,240,109,40,93,43,8,34,23.5,21,29,72.4,15,41,56,21,10,4,19,23,1
DAL,DAL vs. MIA,44502,L,240,110,37,84,44,14,42,33.3,22,31,71,11,30,41,17,1,3,10,21,-15
DAL,DAL vs. SAC,44500,W,240,105,40,90,44.4,12,37,32.4,13,20,65,10,35,45,24,8,4,10,20,6
DAL,DAL @ DEN,44498,L,240,75,23,78,29.5,8,37,21.6,21,27,77.8,6,30,36,14,8,3,15,17,-31
DAL,DAL vs. SAS,44497,W,240,104,41,89,46.1,18,45,40,4,13,30.8,9,36,45,18,4,7,13,19,5
DAL,DAL vs. HOU,44495,W,240,116,43,93,46.2,12,43,27.9,18,25,72,14,36,50,25,9,7,15,22,10
DAL,DAL @ TOR,44492,W,240,103,38,91,41.8,14,42,33.3,13,18,72.2,13,37,50,24,6,6,9,22,8
DAL,DAL @ ATL,44490,L,240,87,31,93,33.3,13,43,30.2,12,13,92.3,10,40,50,16,7,3,15,21,-26
DEN,DEN @ DAL,44515,L,240,101,40,84,47.6,9,32,28.1,12,17,70.6,10,36,46,20,4,5,12,16,-10
DEN,DEN vs. POR,44514,W,240,124,47,90,52.2,19,40,47.5,11,14,78.6,14,35,49,29,9,1,11,14,29
DEN,DEN vs. ATL,44512,W,240,105,40,90,44.4,10,35,28.6,15,20,75,10,39,49,26,6,5,8,21,9
DEN,DEN vs. IND,44510,W,240,101,36,84,42.9,12,30,40,17,20,85,11,28,39,19,5,4,10,14,3
DEN,DEN vs. MIA,44508,W,240,113,42,91,46.2,12,41,29.3,17,24,70.8,12,37,49,28,7,5,10,23,17
DEN,DEN vs. HOU,44506,W,240,95,36,89,40.4,9,40,22.5,14,17,82.4,10,35,45,19,10,5,11,20,1
DEN,DEN @ MEM,44503,L,240,106,43,91,47.3,8,27,29.6,12,13,92.3,11,33,44,24,7,4,12,16,-2
DEN,DEN @ MEM,44501,L,240,97,39,88,44.3,9,38,23.7,10,15,66.7,6,34,40,27,8,8,12,10,-9
DEN,DEN @ MIN,44499,W,240,93,36,88,40.9,9,37,24.3,12,16,75,14,34,48,24,11,10,18,15,2
DEN,DEN vs. DAL,44498,W,240,106,43,83,51.8,11,36,30.6,9,13,69.2,5,46,51,28,8,3,20,24,31
DEN,DEN @ UTA,44495,L,240,110,42,83,50.6,10,28,35.7,16,24,66.7,5,30,35,19,9,3,13,23,-12
DEN,DEN vs. CLE,44494,L,240,87,35,86,40.7,9,38,23.7,8,12,66.7,11,36,47,21,10,3,22,22,-12
DEN,DEN vs. SAS,44491,W,240,102,44,86,51.2,9,30,30,5,8,62.5,8,33,41,26,10,2,21,21,6
DEN,DEN @ PHX,44489,W,240,110,44,83,53,17,39,43.6,5,9,55.6,6,40,46,25,9,1,19,20,12
DET,DET vs. IND,44517,W,240,97,34,80,42.5,8,28,28.6,21,28,75,8,34,42,16,13,5,13,20,8
DET,DET vs. SAC,44515,L,240,107,39,96,40.6,13,47,27.7,16,17,94.1,16,31,47,23,7,2,18,10,-22
DET,DET @ TOR,44513,W,240,127,43,79,54.4,15,35,42.9,26,30,86.7,9,25,34,34,5,6,14,23,6
DET,DET @ CLE,44512,L,240,78,29,79,36.7,9,30,30,11,13,84.6,10,33,43,18,12,5,23,13,-20
DET,DET @ HOU,44510,W,240,112,42,97,43.3,16,48,33.3,12,18,66.7,16,33,49,23,6,6,14,26,8
DET,DET vs. BKN,44505,L,240,90,33,87,37.9,11,34,32.4,13,18,72.2,7,37,44,17,11,6,14,22,-6
DET,DET vs. PHI,44504,L,240,98,35,87,40.2,11,36,30.6,17,19,89.5,12,29,41,21,6,2,11,18,-11
DET,DET vs. MIL,44502,L,240,89,30,93,32.3,8,47,17,21,30,70,14,29,43,21,5,5,14,22,-28
DET,DET @ BKN,44500,L,240,91,32,79,40.5,12,33,36.4,15,22,68.2,7,22,29,21,12,3,15,18,-26
DET,DET vs. ORL,44499,W,240,110,36,89,40.4,14,43,32.6,24,30,80,17,31,48,26,12,6,16,18,7
DET,DET @ PHI,44497,L,240,102,35,86,40.7,13,39,33.3,19,27,70.4,10,27,37,22,11,4,14,22,-8
DET,DET @ ATL,44494,L,240,104,40,91,44,9,33,27.3,15,18,83.3,11,25,36,26,7,6,14,15,-18
DET,DET @ CHI,44492,L,240,82,34,88,38.6,5,28,17.9,9,15,60,11,42,53,14,9,8,23,17,-15
DET,DET vs. CHI,44489,L,240,88,36,90,40,6,28,21.4,10,13,76.9,11,36,47,17,7,5,17,16,-6
GSW,GSW @ BKN,44516,W,240,117,41,79,51.9,13,40,32.5,22,28,78.6,9,44,53,25,4,8,22,27,18
GSW,GSW @ CHA,44514,L,240,102,38,90,42.2,9,39,23.1,17,25,68,11,38,49,31,8,7,15,17,-4
GSW,GSW vs. CHI,44512,W,240,119,45,93,48.4,15,46,32.6,14,16,87.5,12,35,47,27,15,3,16,15,26
GSW,GSW vs. MIN,44510,W,240,123,40,85,47.1,11,40,27.5,32,40,80,20,33,53,23,14,6,16,21,13
GSW,GSW vs. ATL,44508,W,240,127,44,92,47.8,18,44,40.9,21,22,95.5,10,29,39,31,13,4,14,22,14
GSW,GSW vs. HOU,44507,W,240,120,44,85,51.8,15,46,32.6,17,20,85,7,34,41,31,12,3,17,28,13
GSW,GSW vs. NOP,44505,W,240,126,47,91,51.6,20,50,40,12,14,85.7,9,40,49,36,10,4,11,16,41
GSW,GSW vs. CHA,44503,W,240,114,42,86,48.8,18,45,40,12,18,66.7,7,46,53,33,14,4,17,17,22
GSW,GSW vs. OKC,44499,W,240,103,39,92,42.4,21,54,38.9,4,8,50,10,46,56,30,9,8,16,21,21
GSW,GSW vs. MEM,44497,L,265,101,39,90,43.3,14,40,35,9,12,75,7,41,48,29,8,7,23,17,-3
GSW,GSW @ OKC,44495,W,240,106,39,83,47,14,40,35,14,18,77.8,7,39,46,30,9,8,15,20,8
GSW,GSW @ SAC,44493,W,240,119,43,97,44.3,13,37,35.1,20,24,83.3,14,29,43,26,12,3,7,13,12
